Region,Importance
rightCheek,15.064003278040753
leftCheek,12.372566673189032
lipsUpperOuter,6.346349360922308
lipsUpperInner,6.218183595968948
lipsLowerInner,5.922357021259787
lipsLowerOuter,5.232971677556214
rightEyebrowUpper,3.359748026437566
rightEyeLower3,3.2662444492922877
rightEyeLower2,2.9652328106246872
leftEyeLower3,2.92412709410875
leftEyebrowUpper,2.919127743771598
rightEyeLower1,2.795687359513125
leftEyeLower2,2.7098364391954606
rightEyeLower0,2.7031115203415075
leftEyeLower1,2.6485543241618914
leftEyeLower0,2.636128683741027
rightEyeUpper2,2.494167447253878
leftEyeUpper2,2.424446133565547
leftEyeUpper1,2.236696611717634
rightEyebrowLower,2.2257226822933696
rightEyeUpper1,2.2143002098952937
leftEyebrowLower,2.1602576590354534
rightEyeUpper0,2.0728014217747046
leftEyeUpper0,2.0363157769159974
noseRightCorner,0.5934317172003988
noseLeftCorner,0.5537804031144964
noseBottom,0.48690483577260424
midwayBetweenEyes,0.4169450433356704
